"","ALL_GSM330151.CEL","ALL_GSM330153.CEL","ALL_GSM330154.CEL","ALL_GSM330157.CEL","ALL_GSM330171.CEL","ALL_GSM330174.CEL","ALL_GSM330178.CEL","ALL_GSM330182.CEL","ALL_GSM330185.CEL","ALL_GSM330186.CEL","ALL_GSM330195.CEL","ALL_GSM330201.CEL","AML_GSM330532.CEL","AML_GSM330546.CEL","AML_GSM330559.CEL","AML_GSM330566.CEL","AML_GSM330571.CEL","AML_GSM330574.CEL","AML_GSM330580.CEL","AML_GSM330584.CEL","AML_GSM330593.CEL","AML_GSM330603.CEL","AML_GSM330611.CEL","AML_GSM330612.CEL","CLL_GSM330933.CEL","CLL_GSM330934.CEL","CLL_GSM330969.CEL","CLL_GSM330979.CEL","CLL_GSM330980.CEL","CLL_GSM330982.CEL","CLL_GSM330987.CEL","CLL_GSM330999.CEL","CLL_GSM331004.CEL","CLL_GSM331009.CEL","CLL_GSM331037.CEL","CLL_GSM331048.CEL","CML_GSM331377.CEL","CML_GSM331378.CEL","CML_GSM331381.CEL","CML_GSM331382.CEL","CML_GSM331383.CEL","CML_GSM331386.CEL","CML_GSM331387.CEL","CML_GSM331388.CEL","CML_GSM331389.CEL","CML_GSM331390.CEL","CML_GSM331392.CEL","CML_GSM331393.CEL","NoL_GSM331660.CEL","NoL_GSM331661.CEL","NoL_GSM331663.CEL","NoL_GSM331666.CEL","NoL_GSM331668.CEL","NoL_GSM331670.CEL","NoL_GSM331671.CEL","NoL_GSM331672.CEL","NoL_GSM331673.CEL","NoL_GSM331674.CEL","NoL_GSM331675.CEL","NoL_GSM331677.CEL"
"ENSG00000224137",5.32655265370887,3.51205317053122,3.45548035091459,3.47299855610167,3.63913157546201,3.39188025255654,3.28252173692015,3.68253139935124,3.40536624002979,3.60051323084627,3.61965286103124,3.33676707596917,3.40244002065632,3.19348755106214,3.97469574788376,3.32679218079137,3.43290632470542,3.50110408890738,3.57050222245597,3.85567181054707,3.32641043312563,3.65895524486326,4.15738873990806,3.23305525120045,10.1386747008029,10.2232912109159,11.0282241665004,8.4737787203752,11.1992331954394,11.1334587699202,11.4602238840779,11.7970897514768,11.1232935931454,6.67030101247424,9.88140303385683,10.5652124843121,3.80984944727217,3.93621806157257,3.60751991734417,3.59352877506391,3.24723786924475,3.57233603490402,3.53680926828679,3.67888379356112,3.43306711374442,3.46716035514845,3.50875418864663,3.42437420884147,4.29095893572328,3.44051113408632,5.52275181803542,3.82797562411636,3.93800822583881,3.99595865274327,3.56013376642211,5.31925419684629,3.74497324604688,3.9755155496843,4.2429185636012,3.89257560860499
"ENSG00000153253",6.43681488714965,9.56395542155013,7.1866040773381,2.94669723641209,6.94950996776562,9.09509197459269,3.79558686791235,11.9872907456817,3.21579069587923,6.73576138025534,10.9911841804809,7.4878016561757,5.94618770726233,3.24451886860004,3.26770542722996,3.10081667538948,3.18133334918928,3.22249102665055,3.77636234698502,4.83517548581135,9.83349867261062,3.13596299573772,3.15520039363786,3.13369032748413,3.10807005925241,3.07509678360831,3.25833032053862,3.30510109041296,3.20107640701764,3.4375669961483,3.11318508591773,3.39544669757609,3.13774152932224,3.12154584883086,3.16194085552887,3.01993917175973,2.99925602606966,3.18625580097484,3.13756279284889,3.13388798104847,3.18269819564197,3.10709318474764,3.17243964552518,3.02687806260124,3.3667431057533,2.88902545270567,3.20342416619823,3.03459853228248,3.21495864229494,3.35264231068862,3.2072282070032,3.2038057535862,3.15369373736913,4.22949683795172,3.2943981682406,3.63148833820287,3.29348951530903,2.97261457403992,3.51192158591614,3.57526587439921
"ENSG00000096006",6.94340382886589,8.84083930420509,4.60002582805567,4.73510439024911,4.18313571345308,3.04979193266344,9.73680262938822,3.33836158694195,7.29908721840651,3.69628251865228,5.23769295756952,3.21478623988499,3.19348755106214,3.52509205922108,5.45497403409423,8.3053735173521,3.61014146606887,3.37044091225372,3.84857031981634,9.74421060974,3.30548654032531,6.15634339205678,8.15543679374389,4.38384674337863,3.42419650693133,3.16110563239749,3.35081099035823,3.61843199638584,3.5952676258547,3.3667431057533,3.67938806636404,3.11854264901677,3.1572632339138,4.56227176065291,3.31852514024769,3.35064860756416,11.6164969703368,11.7202478298249,11.388179277631,12.45981483326,11.8703366578454,11.7036066802055,11.8485136724037,11.6164969703368,11.6701366594199,11.8199353494604,12.6715044090379,11.9129548059568,11.6164969703368,11.8309940995476,11.9129548059568,11.6470856296892,11.2790004406693,11.167655838624,11.8199353494604,11.3033076845878,12.1283839745406,12.0748197735545,11.574397797573,11.574397797573
"ENSG00000229807",3.32249929469963,3.26365501586822,3.40637854942065,9.52588833282414,3.59589791896278,9.28116972681484,8.94649796837879,3.47375002139939,3.45431914797366,3.5070474456554,10.0584961991,3.35184977564858,3.52461483751091,9.55733609842007,7.98579961282368,3.39895007842593,3.4272805450951,3.50379011533296,7.5956160242582,9.64011437168243,3.34738127246341,3.42120805467122,8.88924640000763,10.0906734638719,9.03571160534715,3.40626693550818,7.84526543684676,3.40725628085155,3.3667431057533,7.88528161434487,3.39630783606916,8.55283928389201,3.42711974500028,3.35621813885707,3.37126494647053,7.28560687477912,3.46458762761745,3.33567775689276,3.35583563624864,3.34580796583191,8.12790870116865,3.28739451778658,3.44788739408914,3.36928330777174,8.14092095820664,3.40261898971657,3.35489975421149,3.28871911007648,3.40920094074056,3.40587065650121,3.41122757072148,3.49928314349903,3.37793436589618,8.88552584192281,8.26342691630077,8.55126475719956,3.30361135896298,3.55858071187854,3.41229782456823,3.38538233167069
"ENSG00000138772",7.19511287268238,8.7414583692944,6.10957777047836,5.63191248898321,5.22484448711684,3.2609121341628,8.88924640000763,3.05258665632666,7.88528161434487,4.32373792198689,5.52171997603874,3.27882435250387,3.39991558560443,3.14994077632195,7.82633757361168,2.87868179151116,5.78213350810289,3.5596425678911,5.76774209921323,5.22011039628609,2.82925912178688,8.14559486439692,9.18865571095047,3.38808530779837,3.29826530668829,2.94992282561597,3.11829748965063,3.05330842853145,3.34338721564897,2.98967151508251,4.3263398737369,3.22942170456871,3.3322537356374,4.21879932022291,2.71739806752084,2.94063808029538,11.0403224314438,11.4183286344443,10.1940998962596,11.688339175298,11.8485136724037,11.4387366636911,10.8964863094038,10.8964863094038,10.5405486032299,11.7288655196392,10.9183243116812,11.5861696898434,11.1483050470927,10.9137568108342,11.574397797573,10.6888012367604,10.4953236099397,10.5440022226813,10.7165115400255,10.5556681795685,11.5677568392596,11.3033076845878,11.0000472006049,11.2410792241261
"ENSG00000169575",7.85382878719373,10.4284923209473,10.512496936683,13.041571070977,10.8368150873005,11.9644975745018,10.786381323693,11.9539123145414,10.4472778258504,11.8392482178138,10.9955806500649,10.7406520514152,7.7170536309128,3.73740614744055,4.46813733963338,3.85629384029851,4.15057934339171,4.15591567638407,3.98689572806335,4.30509549238214,4.37416502185275,3.92611011485462,3.82583740000671,4.05722774728847,4.06297229811525,4.22949683795172,4.02079020742508,4.2357287152431,4.09341257531515,3.82922511215095,4.01876783555025,4.3520144060239,4.21735438705752,3.68447809381691,3.91518340047869,3.78172795147572,3.92803317534371,4.15717605682867,4.90436226708016,3.86669477424636,4.24950943136431,4.14426538240908,4.04232476965938,4.16694756833802,3.90152923296526,4.03777854565173,3.43627395112292,4.06677519700312,4.72219395798117,5.55911772017507,5.32169301729718,4.20409509290572,4.60253249355357,8.88290907939908,6.7784534113637,6.68048018441357,4.38362795277186,4.38886458882426,6.18092187788165,6.39401452432145
"ENSG00000102935",7.80074720678551,9.3868451365455,9.43938983625563,6.74752577897822,7.80674786201468,9.18729030317654,8.476923964438,7.05949834691631,10.9356919135605,9.53159950425787,7.5898403567614,10.4259356054316,3.18760066692279,3.50438983970968,3.43020802393686,2.91389905582506,3.57758275700262,3.47607714092354,3.27803919048718,3.34046934821207,3.35816370354895,3.3388693016612,3.38015269327897,3.5312094643088,3.59495844150945,3.37852461679487,4.11538195043676,3.60677596022429,3.2305693430867,3.50306600649892,3.59511574955716,3.2036436634884,3.33114568927768,3.44597780494952,3.09332537544836,3.46630411111547,3.35296108976345,3.49378400150798,3.56985069060565,3.39972889163483,3.63115252399428,3.54399827735552,3.7043605600359,3.53649113545141,3.58296115763312,3.03907878753518,3.27735800152645,3.6175370033453,3.47822262946247,3.59755867739194,3.41071191149977,3.39759868045532,3.44339578458643,5.48319363666466,3.94652843003641,3.65139007423138,3.40073250848526,3.68181972801774,3.46751219982127,3.80516500042444
"ENSG00000102837",7.77560522349939,3.8447366818622,6.76294043617016,5.59645928253869,5.86332087752352,7.03603484846935,9.34158144318678,3.08809054920879,7.88688099184992,4.62303491641324,4.6370071676134,2.9062024321617,3.78364044337038,3.15133187803866,3.04519542687205,2.76221334685149,6.23969574524405,2.96211657252787,2.97139524764198,3.06669844819532,2.97821158574247,4.72899121754469,5.04164656954545,3.33160993124891,3.20074368067301,2.87042695309608,3.13293312430934,3.00671153344483,3.96183063373485,3.2305693430867,4.02605577101615,2.90313953178928,3.0684045427209,4.53573072902393,3.24492250384767,3.04077273191967,9.02225203002295,9.34409400962334,8.76912753045065,10.0231385696139,7.53803631588984,9.98733916311486,9.05178163031325,8.95822753400592,7.96298074188914,9.64011437168243,10.0796197118284,10.111615866884,9.76324338908796,10.8401410271738,11.290698542849,9.90647419741685,10.0011853598505,10.0330023848357,9.48951339501463,11.0085576525381,11.1568301797162,10.6950884284806,11.481107589261,10.7122460088948
"ENSG00000173391",3.04932048838835,3.10686064480717,3.19905365396731,3.2070467169561,3.18232288648202,3.07647467202871,3.71705825512002,2.96426095031416,3.25172173144582,3.21559390853895,3.20047607275274,2.88017815397512,2.98937170578666,3.05921768091141,3.4634898843041,2.82524376276653,3.07730205668421,3.69762647621162,3.26569202520195,3.33176518884551,2.83420746585122,3.74497324604688,3.37741816359501,3.80356782505975,2.99950627017146,3.41579810579215,3.18760066692279,3.03055232005302,3.21053351490542,3.14520070006177,3.01664689961397,3.01966956310387,2.92389726349377,3.3579753894412,3.08004666062185,3.18893916399933,6.8073580699424,8.85433196460816,3.9431385458586,8.88820810146105,9.3883901445449,7.94472075870583,7.63749262154099,8.06550283948289,3.71883787354255,9.28475494892935,8.86041576588527,9.58549215323497,6.77427563727808,7.41027027567675,8.49129876218764,6.75664161133552,5.9703966387098,6.9213782763264,7.5530665430941,6.38847043892005,8.41268595446575,8.14930213304873,7.50455916705585,8.16626025369773
"ENSG00000154262",3.20940644726317,3.2967435146171,3.09489891856458,3.13927500202134,3.31947645065752,2.82039901321835,3.17572080404196,3.16478769061355,3.14130596982398,3.34249370568606,2.93800662445999,3.1804205401204,3.28244226644783,2.85143653814384,3.08593474435092,3.02025778482909,3.10245352356809,3.09864547426969,3.04408864673672,3.4220403133921,3.02170434116647,3.1870077383664,3.19842847252341,3.01290525714342,8.66866832900598,6.96361540421571,5.11341813955004,8.47922554141731,3.14856531436726,6.9537240001428,7.19030772454575,9.00606847327658,9.28731603320641,5.63890735505886,8.09917900893632,8.49571552772505,3.04381602742689,3.08169543578469,3.21311423390924,3.09864547426969,2.95331371344476,3.10921893930247,3.27150515736265,3.63460442731463,3.12227461840335,3.05872744291361,3.01862112668677,3.32950901128402,3.03587407732047,2.99692637567815,3.08833037776187,3.18775453390721,3.25776982921323,2.83734649704124,3.07561795572468,3.01385243703488,3.04843170947881,3.0387948651035,2.87091461344253,2.89039673578005
